from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9001,PETO1,2,0,150__1__708__TZM__403__1__403__1_20260419,HVL__1__3831__RAIL__Rail_SaSu_+_Hol_20260419
WATE2,9165,2,0,HVL__0__3622__RAIL__Rail_MTuWThF-XHol_20260419,130__0__165__TZM__428__428_20260419
SILV,8416,2,240,HVL__0__2624__RAIL__Rail_MTuWThF-XHol_20260419,115__0__111__TZM__509__1__509__1_20260419
UPPE,8579,2,240,HVL__0__3818__RAIL__Rail_SaSu_+_Hol_20260419,112__0__403__TZM__505__1__505__1_20260419
PORI2,2001,2,0,KPL__0__6464__RAIL__Rail_SaSu_+_Hol_20260419,210__0__425__TZM__312__2__312__2_20260419
3081,3081,2,240,19__0__737__TZM__202__202_20260419,1__1__778__TZM__112__1__112__1_20260419
6733,6730,2,120,7__0__725__TZM__117__1__117__1_20260419,27__1__712__TZM__208__208_20260419
8165,WATE1,2,0,130__1__130__TZM__414__1__414__1_20260419,HVL__1__2629__RAIL__Rail_MTuWThF-XHol_20260419
PETO2,9001,2,0,HVL__0__3840__RAIL__Rail_SaSu_+_Hol_20260419,154__0__413__TZM__409__409_20260419
6055,6017,2,240,1__1__508__TZM__210__2__210__2_20260419,23__0__431__TZM__109__2__109__2_20260419
1501,WAIK,2,240,280__0__119__UZM__4021__1__4021__1_20260419,KPL__1__6225__RAIL__Rail_MTuWThF-XHol_20260419
1501,WAIK,2,240,281__0__119__UZM__4015__1__4015__1_20260419,KPL__1__6317__RAIL__Rail_MTuWThF-XHol_20260419
PARA2,1005,2,0,KPL__0__6224__RAIL__Rail_MTuWThF-XHol_20260419,262__0__111__UZM__4025__1__4025__1_20260419
PORI2,2003,2,0,KPL__0__6450__RAIL__Rail_SaSu_+_Hol_20260419,220__1__438__TZM__303__4__303__4_20260419
8165,WATE1,2,0,145__0__129__TZM__609__609_20260419,HVL__1__4621__RAIL__Rail_MTuWThF-XHol_20260419
PARA2,1005,2,0,KPL__0__6438__RAIL__Rail_SaSu_+_Hol_20260419,261__0__413__UZM__704__1__704__1_20260419
2001,PORI1,2,0,226__0__453__TZM__307__1__307__1_20260419,KPL__1__6459__RAIL__Rail_SaSu_+_Hol_20260419
PORI2,2001,2,0,KPL__0__6448__RAIL__Rail_SaSu_+_Hol_20260419,226__0__437__TZM__303__4__303__4_20260419
WATE2,9140,2,0,HVL__0__3870__RAIL__Rail_SaSu_+_Hol_20260419,160__0__461__TZM__603__2__603__2_20260419
2001,PORI1,2,0,220__0__205__TZM__310__2__310__2_20260419,KPL__1__6349__RAIL__Rail_F-XHol_20260419
8165,WATE1,2,0,130__1__402__TZM__408__1__408__1_20260419,HVL__1__3811__RAIL__Rail_SaSu_+_Hol_20260419
8165,WATE1,2,0,130__1__700__TZM__401__2__401__2_20260419,HVL__1__3811__RAIL__Rail_SaSu_+_Hol_20260419
2001,PORI1,2,0,220__0__435__TZM__302__3__302__3_20260419,KPL__1__6441__RAIL__Rail_SaSu_+_Hol_20260419
2001,PORI1,2,0,220__0__727__TZM__303__2__303__2_20260419,KPL__1__6441__RAIL__Rail_SaSu_+_Hol_20260419
PORI2,2001,2,0,KPL__0__6424__RAIL__Rail_SaSu_+_Hol_20260419,210__0__703__TZM__307__307_20260419
8251,TAIT1,2,0,120__1__150__TZM__424__424_20260419,HVL__1__3601__RAIL__Rail_MTuWThF-XHol_20260419
9001,PETO1,2,0,150__1__100__TZM__404__6__404__6_20260419,HVL__1__4601__RAIL__Rail_MTuWThF-XHol_20260419
8251,TAIT1,2,0,120__1__420__TZM__415__415_20260419,HVL__1__3825__RAIL__Rail_SaSu_+_Hol_20260419
PORI2,2003,2,0,KPL__0__6460__RAIL__Rail_SaSu_+_Hol_20260419,220__1__448__TZM__311__311_20260419
TAIT2,9251,2,0,HVL__0__4630__RAIL__Rail_MTuWThF-XHol_20260419,120__0__201__TZM__437__437_20260419
PETO2,9001,2,0,HVL__0__3814__RAIL__Rail_SaSu_+_Hol_20260419,150__0__401__TZM__403__2__403__2_20260419
7720,7700,2,60,17__1__138__TZM__209__6__209__6_20260419,7__1__210__TZM__216__3__216__3_20260419
UPPE,8579,2,240,HVL__0__3646__RAIL__Rail_MTuWThF-XHol_20260419,110__0__197__TZM__502__6__502__6_20260419
WATE2,9165,2,0,HVL__0__4616__RAIL__Rail_MTuWThF-XHol_20260419,130__0__173__TZM__417__1__417__1_20260419
PARA2,1005,2,0,KPL__0__6456__RAIL__Rail_SaSu_+_Hol_20260419,262__0__423__UZM__703__703_20260419
2001,PORI1,2,0,220__0__461__TZM__303__4__303__4_20260419,KPL__1__6467__RAIL__Rail_SaSu_+_Hol_20260419
2003,PORI1,2,0,220__1__458__TZM__312__2__312__2_20260419,KPL__1__6467__RAIL__Rail_SaSu_+_Hol_20260419
8165,WATE1,2,0,130__1__122__TZM__423__423_20260419,HVL__1__2623__RAIL__Rail_MTuWThF-XHol_20260419
