stop_pattern_id,stop_id,stop_sequence,timepoint
4_0_20260419,6087,49,0
4_0_20260419,6088,50,0
4_0_20260419,6089,51,0
4_0_20260419,6301,52,0
4_0_20260419,7310,53,0
4_0_20260419,6302,54,0
4_0_20260419,6304,55,0
4_0_20260419,6303,56,0
4_0_20260419,6092,57,0
4_0_20260419,6093,58,0
4_0_20260419,6094,59,0
4_0_20260419,6095,60,0
4_0_20260419,6096,61,0
4_0_20260419,6097,62,0
4_0_20260419,6098,63,0
4_0_20260419,6099,64,0
4_0_20260419,7099,65,1
HVU_0_20260419,5017,0,1
HVU_0_20260419,3263,1,1
HVU_0_20260419,9001,2,1
HVU_0_20260419,9107,3,1
HVU_0_20260419,8151,4,1
HVU_0_20260419,9181,5,1
HVU_0_20260419,9220,6,1
HVU_0_20260419,8289,7,1
HVU_0_20260419,8194,8,1
HVU_0_20260419,9297,9,1
HVU_0_20260419,9299,10,1
HVU_0_20260419,9416,11,1
HVU_0_20260419,9421,12,1
HVU_0_20260419,8525,13,1
HVU_0_20260419,8526,14,1
HVU_0_20260419,8579,15,1
4_1_20260419,7099,0,1
4_1_20260419,7098,1,0
4_1_20260419,7097,2,0
4_1_20260419,7096,3,0
4_1_20260419,7095,4,0
4_1_20260419,7094,5,0
4_1_20260419,7093,6,0
4_1_20260419,7092,7,0
4_1_20260419,7303,8,0
4_1_20260419,7304,9,0
4_1_20260419,7294,10,0
4_1_20260419,7300,11,0
4_1_20260419,7301,12,0
4_1_20260419,7089,13,0
4_1_20260419,7088,14,0
4_1_20260419,7087,15,0
4_1_20260419,7083,16,1
4_1_20260419,7080,17,0
4_1_20260419,7028,18,0
4_1_20260419,7027,19,0
4_1_20260419,7026,20,1
4_1_20260419,7025,21,0
4_1_20260419,7024,22,0
4_1_20260419,7023,23,0
4_1_20260419,7022,24,0
4_1_20260419,7021,25,0
4_1_20260419,7020,26,0
4_1_20260419,7019,27,0
4_1_20260419,7018,28,0
4_1_20260419,7017,29,1
4_1_20260419,7015,30,0
4_1_20260419,7014,31,0
4_1_20260419,7013,32,0
4_1_20260419,7012,33,0
4_1_20260419,5000,34,1
4_1_20260419,5002,35,0
4_1_20260419,5515,36,0
4_1_20260419,5006,37,0
4_1_20260419,5008,38,0
4_1_20260419,5010,39,0
4_1_20260419,5012,40,0
4_1_20260419,5015,41,1
4_1_20260419,5911,42,0
4_1_20260419,5912,43,0
4_1_20260419,5913,44,0
4_1_20260419,5914,45,0
4_1_20260419,5915,46,1
4_1_20260419,5916,47,0
4_1_20260419,5917,48,0
4_1_20260419,5918,49,0
4_1_20260419,5319,50,1
4_1_20260419,5920,51,0
4_1_20260419,5921,52,0
